idx,ko,en
311,그러니까 우리의 몸이 마음가짐을 바꿀 수 있고 또 우리의 마음이 행동을 변화시킨다는 것이,"with no, you know, residue over them."
312,"사람의 행동이 결과를 바꿀 수도 있다고 말하면, 사람들은 이렇게 말하죠.","So this is what's driving the effect, or mediating the effect."
313,"""글쎄... 뭔가 속이는거 같은데."" 그렇죠?","So when I tell people about this,"
314,"그러면 저는 결과가 나올 때까지 일단 그렇게 속여봐. 그러면 아니, 그건 내가 아니야.","that our bodies change our minds and our minds can change our behavior,"
315,난 그렇게까지 해서 사기 치는 기분이 들고 싶지는 않아.,"and our behavior can change our outcomes, they say to me,"
316,나는 사기꾼처럼 느껴지는게 싫어.,"""It feels fake."" Right?"
317,내가 여기 와선 안될 사람이라는 걸 느끼려고 그런식으로 하고 싶진 않아.,"So I said, fake it till you make it."
318,그런 이야기가 제게 메아리쳐 오는 듯하죠.,It's not me.
319,"왜냐하면 여기 있어선 안될것 같은 기분, 사기꾼이 된 기분에 대한",I don't want to get there and then still feel like a fraud.
320,짧은 이야기 하나를 말하려 하기 때문이에요.,I don't want to feel like an impostor.
321,"제가 19살 때, 아주 심한 자동차 사고를 당했어요.",I don't want to get there only to feel like I'm not supposed to be here.
322,저는 자동차 밖으로 튕겨져 나가 몇 바퀴를 굴렀어요.,"And that really resonated with me,"
323,차 밖으로 튕겨져 나가 머리를 크게 다치고 병원 회복실에서 깨어났어요.,because I want to tell you a little story about being an impostor
324,그리고 대학교도 그만 두어야 했죠.,and feeling like I'm not supposed to be here.
325,제 IQ는 표준 편차의 2배 정도가 떨어졌는데,"When I was 19, I was in a really bad car accident."
326,그건 정말 충격적이었어요.,"I was thrown out of a car, rolled several times."
327,저는 늘 우수한 학생으로 평가 받았기 때문에,I was thrown from the car.
328,제 IQ 를 알고 있었어요.,"And I woke up in a head injury rehab ward,"
329,어쨌든 대학을 그만두었다가 학교로 되돌아 가려고 노력하고 있었지요.,"and I had been withdrawn from college,"
330,"사람들은 이렇게 말했죠. ""너는 대학을 졸업하지 못할거야.""","and I learned that my IQ had dropped by two standard deviations,"
331,"""다른 할 수 있는 일도 있겠지만,""",which was very traumatic.
332,"""졸업은 힘들거야.""라고요.","I knew my IQ because I had identified with being smart,"
333,저는 이 문제를 극복하려고 꽤 고생했어요. 그리고 이렇게 말해야 했죠.,and I had been called gifted as a child.
334,"자신의 정체성의 핵심을 잃는다는 것은,","So I'm taken out of college, I keep trying to go back."
335,"제게는 그게 똑똑하다는 거였구요,","They say, ""You're not going to finish college."
336,그게 없다는 건 더 힘 빠지는 일은 없을거라고 말이죠.,"Just, you know, there are other things for you to do,"
337,"저는 완전히 기운을 잃었어요. 그래도 정말, 정말 열심히 공부했죠.","but that's not going to work out for you."""
338,"운이 좋았고, 더 열심히 공부하고, 또 운이 따르고 그랬던거죠.","So I really struggled with this, and I have to say,"
339,결국 저는 대학을 졸업했어요.,"having your identity taken from you, your core identity,"
340,제 친구들에 비해서 4년이나 더 걸렸죠.,"and for me it was being smart,"
341,저는 천사같은 지도교수님이었던 수잔 피스크씨에게,"having that taken from you,"
342,저를 받아달라고 했어요. 결국 프린스톤 대학에 갔습니다.,there's nothing that leaves you feeling more powerless than that.
343,하지만 저는 마치 거기 있으면 안되는 사람인 듯한 느낌을 받았어요.,So I felt entirely powerless.
344,사기꾼 같은 느낌이요.,"I worked and worked, and I got lucky,"
345,"제가 첫 해 강연을 하기 전날 밤,","and worked, and got lucky, and worked."
346,프린스톤에서 첫 해 강연은 20여명 앞에서 20분 동안,Eventually I graduated from college.
347,강연하는 거였어요. 그게 다죠.,"It took me four years longer than my peers,"
348,저는 너무 겁이 나서 다음날 제 지도교수님께,"and I convinced someone, my angel advisor, Susan Fiske,"
349,"전화해서 ""저는 포기할래요""라고 말했어요.","to take me on, and so I ended up at Princeton,"
350,"그녀가 이렇게 말했습니다. ""너는 그만두지 않을거야.""","and I was like, I am not supposed to be here."
351,"""나는 너를 믿는다, 너는 여기 남을거야.""",I am an impostor.
352,"""너는 여기 남아서 이 일을 하게 될거야.""","And the night before my first-year talk,"
353,"""그렇게 할거라고 그냥 생각해..""",and the first-year talk at Princeton is a 20-minute talk to 20 people.
354,"""너는 해야할 모든 강연을 다 마치게 될거고""",That's it.
355,"""그저 계속해서 해내기만하면 돼.""",I was so afraid of being found out the next day
356,"""몹시 겁이나서 온몸이 굳고 정신이 빠져나가는 듯해도""","that I called her and said, ""I'm quitting."""
357,"""네가 '오 이런~ 내가 이걸하고 있구나.""","She was like, ""You are not quitting,"
358,"""내가 이렇게까지 됐구나. 내가 정말 이걸 하고 있단 말이지'라고""","because I took a gamble on you, and you're staying."
359,"""말하게 되는 순간까지 계속해낼거야.""","You're going to stay, and this is what you're going to do."
360,결국 저는 해냈습니다. 대학원에서 5년이 걸렸어요.,You are going to fake it.
361,노스웨스턴 대학에 몇년 있다가,You're going to do every talk that you ever get asked to do.
362,하버드로 옮겼어요. 저는 이제 더 이상,"You're just going to do it and do it and do it,"
363,지금은 이런 생각을 하지 않지만 예전엔 오랜동안 이렇게 느꼈죠.,even if you're terrified and just paralyzed
364,"""내가 있을 곳이 아니야, 난 여기 어울리지 않아."" 라고 말이에요.","and having an out-of-body experience,"
365,하버드에서 첫 해가 끝나갈 무렵,"until you have this moment where you say, 'Oh my gosh, I'm doing it."
366,한 학기동안 한번도 수업에서 이야기 하지 않던 학생이었는데,"Like, I have become this. I am actually doing this.'"""
367,"제가 ""네가 함께 참여하지 않으면 낙제할거야."" 라고 말하자",So that's what I did.
368,그 학생이 제 연구실로 찾아왔어요. 저는 그 학생을 잘 알지 못했죠.,"Five years in grad school,"
369,그 학생은 완전히 패배한 모습으로 와서,"a few years, you know, I'm at Northwestern,"
370,"""저는 여기 있어서는 안될 사람이에요."" 라고 제게 말했습니다.","I moved to Harvard, I'm at Harvard,"
371,그건 바로 제 모습이었어요. 두가지 생각이 떠올랐죠.,"I'm not really thinking about it anymore, but for a long time I had been thinking,"
372,"하나는 제가,","""Not supposed to be here."""
373,"오, 이제 더이상 저런 느낌을 받지 않는구나 라는 거였어요.","So at the end of my first year at Harvard,"
374,저는 더 이상 그런 느낌을 갖지 않았지만 그 학생이 어떤 기분인지 알고 있었죠.,"a student who had not talked in class the entire semester,"
375,"두 번째는, 그 학생은 여기 있어야만 한다! 라는 거였어요.","who I had said, ""Look, you've gotta participate or else you're going to fail,"""
376,"속임수를 쓰는 것처럼 계속 하다보면, 그렇게 될 수 있는 겁니다.",came into my office. I really didn't know her at all.
377,"그래서 이렇게 말했어요. ""아니, 너는 여기 있어야 할 사람이야.""","She came in totally defeated, and she said,"
378,"""내일부턴 그런 척 하면 돼.""","""I'm not supposed to be here."""
379,"그러면 나중엔 힘을 얻게 될거야. 그리고,",And that was the moment for me.
380,"너는 앞으로 --"" (박수)",Because two things happened.
381,(박수),"One was that I realized,"
382,"""너는 앞으로도 수업을 들을것이고","oh my gosh, I don't feel like that anymore."
383,"수업에서 최고의 의견을 내게 될거야.""","I don't feel that anymore, but she does, and I get that feeling."
384,아세요? 그 학생은 나중에 최고의 의견을 냈어요.,"And the second was, she is supposed to be here!"
385,"학생들이 돌아보며, 이런~","Like, she can fake it, she can become it."
386,저런 학생이 있는지도 몰랐는데? 라고 했죠. (웃음),"So I was like, ""Yes, you are! You are supposed to be here!"
387,몇 달 후에 그 학생이 제게 찾아왔어요. 저는 그 학생이,"And tomorrow you're going to fake it,"
388,그렇게 할 때까지 그런 척을 한게 아니라,"you're going to make yourself powerful, and, you know --"
389,그렇게 될 때까지 그런 척을 한거 였어요.,(Applause)
390,그 학생은 완전히 변한거죠.,"And you're going to go into the classroom,"
391,여러분들께 이렇게 말씀 드리고 싶어요. 한번 해낼까지만 속이는게 아니라,"and you are going to give the best comment ever."""
392,완전히 그렇게 될 때까지 속이셔야 합니다. 아시겠죠?,"You know? And she gave the best comment ever,"
393,충분히 많이 하다보면 정말 그렇게 되고 그걸 내재화 하게 됩니다.,"and people turned around and were like,"
394,여러분들께 마지막으로 드릴 말씀은 이겁니다.,"oh my God, I didn't even notice her sitting there. (Laughter)"
395,작은 괘도 수정이 커다란 차이를 만들 수 있습니다.,"She comes back to me months later,"
396,그건 2분이에요.,"and I realized that she had not just faked it till she made it,"
397,2분. 2분. 2분.,she had actually faked it till she became it.
398,다음 번에 스트레스를 받을 평가를 받는다면,So she had changed.
399,2분.동안 엘리베이터 안에서 이런걸 하면서 노력해 보세요.,"And so I want to say to you, don't fake it till you make it."
400,화장실 변기위에 앉아서도 문을 닫고 책상에서라도 해보세요.,Fake it till you become it.
401,그게 여러분들이 원하시는 겁니다. 그런 상황에서,Do it enough until you actually become it and internalize.
402,최대한 잘 대응할 수 있도록 뇌를 조정하는 겁니다.,The last thing I'm going to leave you with is this.
403,자신의 테스토스테론을 높이고 코티졸을 낮추세요.,Tiny tweaks can lead to big changes.
404,그리고 '내가 누군지 제대로 보여주지 못했어'라는 생각을 갖고 나오지 않도록 하세요.,"So, this is two minutes."
405,"'내가 정말 어떤 사람인지 제대로 말도 했고 보여주었군""","Two minutes, two minutes, two minutes."
406,이라고 생각하며 나오도록 하세요.,"Before you go into the next stressful evaluative situation,"
407,제가 부탁드립니다.,"for two minutes, try doing this, in the elevator,"
408,힘을 얻은 듯한 자세를 취하세요,"in a bathroom stall, at your desk behind closed doors."
409,또 한가지 말씀드리죠.,That's what you want to do.
410,과학을 공유하세요. 이건 쉽죠.,Configure your brain to cope the best in that situation.
411,저의 자아가 여기에 빠져 있는건 아니에요. (웃음),Get your testosterone up. Get your cortisol down.
412,"사람들에게 나눠주고, 공유해야 합니다.","Don't leave that situation feeling like, oh, I didn't show them who I am."
413,왜냐하면 그걸 가장 많이 사용할 사람은,"Leave that situation feeling like,"
414,"자원도 없고, 기술도, 지위도,",I really feel like I got to say who I am and show who I am.
415,권력도 없는 사람들이거든요. 그런 사람들과 나누세요.,"So I want to ask you first, you know, both to try power posing,"
416,그런 사람들도 혼자 할 수 있는거니까요.,"and also I want to ask you to share the science, because this is simple."
417,그 사람들도 개인적으로 2분 동안 자신의 몸이 필요한거죠,I don't have ego involved in this. (Laughter)
418,그게 그 사람들의 인생을 엄청나게 바꾸어 놓을 수 있습니다.,"Give it away. Share it with people,"
419,감사합니다. (박수),because the people who can use it the most
420,(박수),are the ones with no resources and no technology
